"Category","Subfolder","File","SizeKB","Modified"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\English","Annual_Securities_Report_fy2021.pdf","2679","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\English","Annual_Securities_Report_fy2022.pdf","2606.9","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\English","Annual_Securities_Report_fy2023.pdf","2865.6","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\English","Annual_Securities_Report_fy2024.pdf","3758.2","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\English","JPX_ConsolidatedFinancialStatements_IFRS_en_2015.3.pdf","2778.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\English","JPX_ConsolidatedFinancialStatements_IFRS_en_2016.3.pdf","1726.2","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\English","JPX_ConsolidatedFinancialStatements_IFRS_en_2017.3.pdf","1699","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\English","JPX_ConsolidatedFinancialStatements_IFRS_en_2018.3.pdf","1804.8","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\English","JPX_ConsolidatedFinancialStatements_IFRS_en_2019.3.pdf","1462.2","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\English","JPX_ConsolidatedFinancialStatements_IFRS_en_2020.3.pdf","4226.2","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\English","JPX_ConsolidatedFinancialStatements_IFRS_en_2021.3.pdf","4248","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\English","JPX_ConsolidatedFinancialStatements_IFRS_en_2022.3.pdf","3806.2","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","20150212.pdf","693.9","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","20251113_j.pdf","135.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h21_1q_securities_report_ose.pdf","105.6","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h21_2q_securities_report_ose.pdf","114.8","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h21_3q_securities_report_ose.pdf","189.2","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h21_fy_securities_report_ose.pdf","486.3","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h22_1q_securities_report_ose.pdf","124.6","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h22_2q_securities_report_ose.pdf","161.7","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h22_3q_securities_report_ose.pdf","150.2","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h22_3q_securities_report_ose_revice.pdf","16.7","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h22_fy_securities_report_ose.pdf","569.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h23_1q_securities_report_ose.pdf","157.6","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h23_2q_securities_report_ose.pdf","177.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h23_3q_securities_report_ose.pdf","173.8","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h23_fy_securities_report_ose.pdf","1115.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h24_1q_securities_report_ose.pdf","93.6","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h24_2q_securities_report_ose.pdf","104.3","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h24_3q_securities_report_ose.pdf","104.9","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h24_fy_securities_report_ose.pdf","740.2","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h25_1q_securities_report_ose.pdf","151.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","h25_2q_securities_report_ose.pdf","94.6","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View12-3.pdf","627.5","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View12.pdf","1954.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View12_1.pdf","102.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View12_2.pdf","84.6","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View13-1.pdf","546.7","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View13-2.pdf","588.9","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View13-3.pdf","559.5","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View13.pdf","1527.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View13_1.pdf","156","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View13_2.pdf","125.2","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View14-1.pdf","507.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View14-2.pdf","607.6","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View14.pdf","1663.3","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View14_1.pdf","102.7","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View14_2.pdf","63.8","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View15-1.pdf","713.9","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View15-2.pdf","754.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View15-3.pdf","752.9","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View15.pdf","1750.7","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View15_1.pdf","102.2","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","View15_2.pdf","63.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view16-1.pdf","712.5","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view16-2.pdf","733.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view16-3.pdf","732.2","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view16.pdf","1702.9","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view16_1.pdf","101.2","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view16_2.pdf","62","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view17-0.pdf","603.8","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view17-0_1.pdf","15.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view17-0_2.pdf","12.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view17-1.pdf","126.7","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view17-2.pdf","136.6","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view17-3.pdf","133","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view18-0.pdf","909.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view18-0_1.pdf","15.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view18-0_2.pdf","12.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view18-1.pdf","119.2","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view18-2.pdf","129.3","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view18-3.pdf","125.3","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view19-0.pdf","1014.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view19-0_1.pdf","15.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view19-0_2.pdf","12.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view19-1.pdf","125.5","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view19-2.pdf","139.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view19-3.pdf","150.5","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view20-0.pdf","1018.3","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view20-0_1.pdf","15.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view20-0_2.pdf","12.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view20-1.pdf","122.6","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view20-2.pdf","152","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view20-3.pdf","149.3","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view21-0.pdf","1026","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view21-0_1.pdf","15.5","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view21-0_2.pdf","12.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view21-1.pdf","126.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view21-2.pdf","135.9","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view21-3.pdf","134.7","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view22-0.pdf","1304.6","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view22-0_1.pdf","14.7","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view22-0_2.pdf","11.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view22-1.pdf","256.6","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view22-2.pdf","266","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view22-3.pdf","254.6","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view23-1.pdf","120.2","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view23-2.pdf","129.9","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view23-3.pdf","130","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view23.pdf","1416.3","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view23_1.pdf","14.7","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view23_2.pdf","11.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view24-0.pdf","134.9","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view24-1.pdf","1465.9","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view24-2.pdf","15.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","view24-3.pdf","11.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Annual_Securities_Reports\Japanese","yuho_pdf.pdf","2256.7","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20150909E-01.pdf","114.3","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20160623-01e.pdf","84.7","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20161101QA.pdf","100.8","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20170620-01E.pdf","82","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20180507_QAs_EN.pdf","91.5","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20180622_ExtraordinaryReport.pdf","65.7","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20190621_ExtraordinaryReport_E.pdf","67.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20200619_ExtraordinaryReport_E.pdf","111","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20210618_ExtraordinaryReport_E.pdf","104.6","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20220331_E.pdf","2256.4","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20220620_ExtraordinaryReport_E.pdf","58.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20230620_ExtraordinaryReport_E.pdf","110.9","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20240621_ExtraordinaryReport_E.pdf","113","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20250327_e.pdf","2499.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20250428_E.pdf","375","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20250624_ExtraordinaryReport_E.pdf","116.1","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20251031_E.pdf","444.5","2026-05-21"
"C:","C:\Users\werdn\Documents\Investing\Single Stock Investments\8697.T\01_Official\Extraordinary_Reports","20260420_ExtraordinaryReport_E.pdf","178.9","2026-05-21"
